Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DZA,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,,3.0000049425,6.4000006598,5.399996984,5.5999973257,5.6000013675,-0.1999995803,-0.6999986063,-1.8999975378,4.7999980266,1.2517555392,-1.2,1.6,-2.1024892566,-0.9,3.8476977395,3.8,1.1,5.0975136618,3.2,3.8,3.0,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.4,2.5444790617,2.6897531325,1.8671712485
DZA,Algeria,DZ,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,,-0.1294475992,3.1316436198,2.1598501577,2.3898014493,2.4550491877,-3.10008297,-3.5091445543,-4.5870923736,2.0358611463,-1.306444493,-3.5885312862,-0.742780022,-4.2346275588,-2.9125695021,1.9002321646,2.0102614036,-0.5082452346,3.5423331835,1.7580095804,2.4084610145,1.6681889329,4.2702472377,5.8486721903,2.9416291859,4.4450680097,0.2262585746,1.8259088114,0.7531768181,-0.1332935203,1.7301529444,0.9383341131,1.3458394057,0.7280625601,1.7439442064,1.7279939234,1.3332123399,-0.3475598491,0.8603575682,1.0753503006,0.329200641
DZA,Algeria,DZ,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,34512.3297280314,35547.7013256442,37822.7544450292,39865.1820443265,42097.6311726942,44455.0990940502,44366.1890824401,44055.6263771946,43218.5705607655,45293.061094807,45860.0194959345,45309.6992619833,46034.654450175,45066.7807860472,44661.1797589728,46379.6069629928,48142.0320275865,48671.5943798899,51152.6355528207,52789.519890511,54795.5216463504,56439.3872957409,59599.9929843024,63891.1924791722,66638.5137557766,70570.1860673674,71769.8792305126,74210.0551243501,75991.0964473345,77206.9539904918,79986.4043341495,82306.0100598398,85104.4144018744,87487.3380051269,90811.8568493217,94171.8955527466,97185.3962104345,98545.9917573806,101053.473883759,103771.56286301,105709.155648888
DZA,Algeria,DZ,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,42345.8276874594,44371.7598078243,44779.9833599581,47528.985113478,51512.7864663987,61132.0786197606,61535.2704407707,63299.597415065,51664.1925006607,52558.2856887351,61892.2114687772,46669.8424727981,49216.6605605422,50962.6900835297,42425.6253743689,42065.9631160439,46941.4966483406,48177.8640372918,48187.5874631846,48845.0751879699,54795.5216463504,54621.8027585314,56758.7149000714,67859.5476451967,85908.9725653463,105285.875341609,118700.325878434,134977.284666139,171001.117944716,137211.044210106,161207.411163259,200019.103012998,209059.083117985,209755.003250664,213809.978238751,165967.810237416,160132.094556317,167552.812075236,181354.494428578,187422.917508353,193705.489154841
DZA,Algeria,DZ,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,24112.6268746173,26305.6065952857,27485.5787761395,29417.5993985967,33149.2544202016,36927.4831934445,44511.0923969445,43894.7036335969,47209.3758506248,44198.2451344275,45067.0108099237,29622.8908292688,33572.2038276066,37281.3487881981,31416.0332016487,30025.5755548888,32157.7237168235,32754.8979853537,35075.5034985274,33260.7823786799,30220.6490051794,32018.3902091563,33755.4701883364,37519.2195878287,44951.8408057498,47605.7200941281,50969.1183410638,58488.6654236251,74196.2256204438,73688.5775933762,83097.9698460217,103696.510706713,109684.113910147,112849.091074029,120060.948869857,103851.459392607,102155.457083926,104656.071798835,110184.109060205,113666.188267396,117069.974687611
DZA,Algeria,DZ,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,5824.4407093252,6106.38559158072,6676.55301718788,7244.612429001,7899.47364935776,9138.19165440153,11247.9159223532,11958.5586031416,11012.8711682787,9304.17845163868,10054.8813230462,6939.38688565412,8461.44687009127,9475.22852467724,7528.41678908111,7001.28192485948,7404.71498057495,7969.51517483026,8573.52014845333,8165.36210136405,7442.22014940247,8089.10185844719,8789.95104283407,10045.8685961625,11830.6081538859,12057.0338499241,13332.5328321824,15716.0092593127,22583.4123017274,22153.1098261122,27770.7897029884,41338.8785388846,42476.6961913159,40152.8719238387,42314.5955491721,35782.5872641269,33423.7710200615,32233.0608596894,33778.7691751115,33472.9865867123,34401.7078594211
DZA,Algeria,DZ,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,18288.1861652921,20199.221003705,20809.0257589516,22172.9869695957,25249.7807708438,27789.2915390429,33263.1764745913,31936.1450304552,36196.5046823461,34894.0666827889,35012.1294868775,22683.5039436147,25110.7569575153,27806.1202635209,23887.6164125676,23024.2936300294,24753.0087362486,24785.3828105234,26501.9833500741,25095.4202773159,22778.4288557769,23929.2883507091,24965.5191455023,27473.3509916661,33121.2326518639,35548.686244204,37636.5855088814,42772.6561643124,51612.8133187164,51535.467767264,55327.1801430332,62357.6321678287,67207.4177188307,72696.2191501908,77746.3533206846,68068.8721284799,68731.686063865,72423.0109391455,76405.3398850937,80193.2016806838,82668.2668281899
DZA,Algeria,DZ,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,16550.5739488462,16413.1414496931,16842.2909330842,18338.4146341463,18567.9570250654,19245.992282907,21124.2535599449,19357.7387653771,16575.4881423961,16923.8331563397,17886.3322508152,14439.2001255894,14645.9761587463,14401.2524951382,13347.4335753098,13568.2619742482,11839.5072777718,11393.6860783886,13873.2358399019,13356.5856889862,12888.6869218361,14571.0030434501,17398.2152131915,20586.3374895019,28583.3703134937,33323.4959606824,35811.4428847083,46526.025942239,63866.184185263,64319.6993699019,66788.765535801,76117.3980690876,81863.9371233737,91013.9526562209,97399.9240083388,84277.187433688,80670.604990357,81102.066766429,86317.7339829636,88223.1022808763,91104.0701606373
DZA,Algeria,DZ,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,,,,,,,,,,,9393.23924828548,11627.8548208362,11320.7028727657,10049.0888997404,9168.37184715996,9655.71332726464,9248.42738392917,7316.73459556313,9473.58991432575,10019.5318794829,8611.11775476416,9942.43346500032,11702.4066946195,15066.5602074721,21854.5495327489,11329.988626632,12175.8905808008,14330.0159902096,18904.3905188378,20132.0659027793,22841.757813244,25651.5631492825,30125.9288614015,34494.2880567077,34674.3729469686,30100.8358513122,28891.808713937,29746.9790328909,28277.774381823,28710.8349339714,30430.393285436
DZA,Algeria,DZ,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,,,,,,,,,,,8493.09300252976,2811.34530475314,3325.27328598055,4352.16359539781,4179.06172814988,3912.54864698357,2591.07989384262,4076.95148282543,4399.64592557619,3337.05380950335,4277.56916707193,4628.56957844978,5695.80851857197,5519.77728202985,6728.82078074471,21993.5073340504,23635.5523039075,32196.0099520294,44961.7936664251,44187.6334671226,43947.0077225571,50465.8349198051,51738.0082619722,56519.6645995132,62725.5510613702,54176.3515823758,51778.79627642,51355.087733538,58039.9596011407,59512.2673469049,60673.6768752013
