Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
KEN,Kenya,KE,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,,4.1,5.0523556004,1.5930549409,1.6001240776,4.0728854279,6.9821038937,5.8106859736,6.0908480085,4.5542262134,4.133687241,1.3393001148,-1.080186747,-0.094759474,2.5311821309,4.2868716347,4.0110310475,0.2201195016,3.3304624082,2.4069530327,0.599251604,4.4647031824,0.54538372,2.9322615926,5.0883788513,5.9,6.7373881648,6.8507297706,0.2322827457,3.3,8.4,6.1,4.5,5.9,5.4,5.7,5.9,4.9,5.8803032663,5.998787842,6.0844716021
KEN,Kenya,KE,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,,0.2031845124,1.1172334436,-2.1943843822,-2.1464068464,0.2942583548,3.1634514804,2.0997172475,2.4425529867,1.0360743908,0.7097245721,-1.9175719831,-4.1881981314,-3.1599483894,-0.5367103362,1.2437791419,1.0501621216,-2.571038258,0.4992202414,-0.3727037393,-2.1198804169,1.6495893208,-2.1564722859,0.1672347039,2.2598135829,3.0405436425,3.8458090425,3.9502190166,-2.4880700278,0.5047809187,5.4823913005,3.2614153103,1.7231978098,3.1118205765,2.6578354802,2.9879022596,3.2224118568,2.2863680849,3.2805824774,3.4329796223,3.5521178744
KEN,Kenya,KE,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,6905.3725939798,7188.49287033297,7551.68109245159,7671.9835212159,7794.74477676838,8112.21580092338,8678.61913622499,9182.90644107579,9742.22331516447,10185.9062031517,10606.9597082516,10749.018731801,10632.9092560275,10622.8335671456,10891.7168321924,11358.6307516035,11814.2289576212,11840.2343795206,12234.5689345733,12529.0492625818,12604.1297912538,13166.8667751577,13238.6767229835,13626.8693559001,14320.2560943,15165.1512038637,16186.8863062468,17295.8061453671,17335.9813187666,17908.0687022859,19412.3464732779,20596.4996081479,21523.3420905145,22793.2192738549,24024.053114643,25393.4241421777,26891.6361665662,28209.3263387279,29868.120276837,31659.8454446455,33586.1797499871
KEN,Kenya,KE,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,10019.0129043419,9436.86143000164,9085.71056038249,8402.46415680728,8718.37349960068,8676.31451395208,10304.5288249733,11296.3446052882,11712.2666457679,11611.4615771936,12082.6047779455,11409.6332871022,11237.0349415488,7806.67388796233,9346.87713036226,11848.638682563,11949.8558286871,13175.4190600787,13657.4285779451,12779.8560568032,12604.1297912538,12983.2693790441,13102.9849774348,14904.512285972,16092.0337934157,18755.1100713652,25811.5041183497,31958.1828913734,35314.9939384448,37021.5061630611,40017.1762928636,41462.426248534,60497.6350732087,55097.3569474531,61445.3712915636,64007.3945665028,70875.7173266285,74938.0158614416,84418.7378080404,91211.9481888655,98502.5016099821
KEN,Kenya,KE,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,5768.04637078026,5334.07018513402,5269.95229942411,4765.80400405664,4993.79071590617,4627.52782663202,5651.52813129788,6440.79127290407,6841.68117607947,6878.11398711873,6907.18662174665,6436.04200974993,6814.83573787589,4463.77926012003,5544.96472829907,7608.38152199698,10621.0768243987,11858.2938410481,12612.5901377288,11469.1151657122,11414.5109370826,12083.8383250806,12006.8319642832,13359.0057095086,14606.4787310245,17288.899191946,23392.4336601949,28634.473738255,32665.1326803114,33862.0020630282,36425.5736129505,39633.8417192822,56381.3137755074,51337.9145769481,56697.080508968,57301.2184383227,64937.1256878878,70923.8137690327,79707.5091364366,85282.5787080716,91750.1440774509
KEN,Kenya,KE,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,1439.31624392367,1273.27991157778,1184.73215348416,1101.30338429178,1076.73842610258,1071.07429969389,1326.29100747579,1480.44607858033,1538.27949355106,1495.19990278284,1598.09380836839,1367.11272034579,1287.40284572025,893.255840817361,1083.29616453704,1342.73903456751,1872.62394136464,2089.86327377473,2313.54819038204,2043.91473149202,1932.79158688971,2074.05632788281,2245.36714614134,2702.37680318197,2874.05182606478,3259.45158299113,3705.18593763605,4675.35017596608,5626.19733503147,5632.62657374508,5665.10343642242,5878.36362831,6986.16801360514,7790.45021001398,8535.39048049924,9114.555889609,9620.37402747993,10453.4086785153,12108.7935802443,12969.1763635796,13954.4793690461
KEN,Kenya,KE,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,4328.73012685659,4060.79027355623,4085.22014593996,3664.50061976487,3917.05228980359,3556.45352693813,4325.23712382208,4960.34519432374,5303.40168252841,5382.91408433589,5309.09281337825,5068.92928940413,5527.43289215565,3570.52341930267,4461.66856376203,6265.64248742947,8748.45288303402,9768.43056727336,10299.0419473468,9425.20043422014,9481.71935019293,10009.7819971978,9761.46481814184,10656.6289063266,11732.4269049597,14029.4476089548,19687.2477225589,23959.1235622889,27038.93534528,28229.3754892831,30760.4701765281,33755.4780909722,49395.1457619023,43547.4643669342,48161.6900284688,48186.6625487137,55316.7516604078,60470.4050905174,67598.7155561923,72313.402344492,77795.6647084048
KEN,Kenya,KE,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,2126.6301806288,1905.49875656259,1406.29720846342,1245.53957104759,1284.8708538286,1571.31468284638,1575.27872449263,1936.24844267526,2128.79850792524,2059.05942398833,2071.42981828338,1709.39257449678,1386.66782548236,1012.90833136499,1379.10744934042,1973.886734928,1807.33550358193,1985.85828148146,2352.67846042668,2001.64486670669,2212.52911264138,2440.11600035207,1990.33406217047,2456.58368493092,2749.61441946037,3171.89496116532,4812.21888642543,6537.6773794033,7040.01082024299,7157.2281516111,8357.83994140939,9043.20501062924,10826.4440027413,11077.5093936068,13783.8281895915,13763.9467134983,12137.6745265835,12833.3870735471,14495.0112546449,15388.9905474419,16342.7247437001
KEN,Kenya,KE,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,1153.14134776771,1156.32400472968,1032.20743454063,1007.88957294309,974.423881426108,1335.28607286866,1300.20466311294,1544.94934031354,1593.29674403723,1259.72358331512,1438.01975656887,1201.51508845669,801.108718709666,652.545775402701,576.298406524857,790.658104802257,810.443311362496,1045.90145073392,1105.34882832948,811.590991080678,1633.4282206223,1865.72544599583,1422.43526944155,1824.21116675738,2098.02199072705,2622.0870395863,3878.71477040461,5456.84890164286,5536.0621018173,4707.7228398284,5611.95505573655,6152.24392514705,7305.47627294699,7515.40134607642,8398.62178101492,6549.23645928149,7290.06346836748,8539.71738688946,9614.48153264994,10204.1633515637,10854.0646436993
KEN,Kenya,KE,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,973.488832861087,749.174751832905,374.089773922788,237.649998104504,310.446972402488,236.02860997772,275.074061379681,391.299102361712,535.50176388801,799.335840673217,633.410061714507,507.877486040093,585.559106772691,360.362555962286,802.809042815561,1183.22863012574,996.89219221943,939.956830747534,1247.3296320972,1190.05387562601,579.100892019088,574.390554356238,567.898792728921,632.37251817354,651.592428733326,549.807921579017,933.504116020818,1080.82847776044,1503.94871842569,2449.50531178269,2745.88488567284,2890.96108548219,3520.96772979426,3562.10804753043,5385.20640857658,7214.71025421682,4847.61105821599,4293.66968665766,4880.52972199492,5184.82719587817,5488.66010000076
